         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   81.217   81.217 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/pyplot.py:237(show)
        1    0.000    0.000   81.217   81.217 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:188(show)
        1    0.000    0.000   80.266   80.266 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:1076(mainloop)
        1    0.000    0.000   80.266   80.266 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:555(mainloop)
        1   79.698   79.698   80.266   80.266 {method 'mainloop' of '_tkinter.tkapp' objects}
      120    0.005    0.000   14.350    0.120 /Users/hjfreyer/src/RJMCMC/pipeline.py:944(SynthesiseSWD)
     7843    2.537    0.000   14.266    0.002 /Users/hjfreyer/src/RJMCMC/pipeline.py:1090(_Secular)
       12    0.001    0.000   11.023    0.919 /Users/hjfreyer/src/RJMCMC/pipeline.py:1049(_FindMinValueSecularFunctionFine)
        1    0.002    0.002    8.657    8.657 /Users/hjfreyer/src/RJMCMC/pipeline.py:105(JointInversion)
      149    0.002    0.000    8.563    0.057 /Users/hjfreyer/src/RJMCMC/pipeline.py:221(NextState)
    90827    0.231    0.000    7.328    0.000 /Users/hjfreyer/src/RJMCMC/matlab.py:28(mldivide)
    90827    2.201    0.000    7.097    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:1880(lstsq)
       12    0.000    0.000    5.913    0.493 /Users/hjfreyer/src/RJMCMC/matlab.py:18(findmin)
       12    0.000    0.000    5.913    0.493 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/optimize/optimize.py:2004(brent)
       12    0.000    0.000    5.913    0.493 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/optimize/optimize.py:2083(_minimize_scalar_brent)
       12    0.001    0.000    5.913    0.493 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/optimize/optimize.py:1889(optimize)
      120    0.002    0.000    5.149    0.043 /Users/hjfreyer/src/RJMCMC/pipeline.py:579(SynthesiseRF)
      780    0.050    0.000    3.320    0.004 /Users/hjfreyer/src/RJMCMC/pipeline.py:1016(_FindMinValueSecularFunctionCoarse)
      120    0.243    0.002    3.071    0.026 /Users/hjfreyer/src/RJMCMC/pipeline.py:593(_SynthesiseWV)
153211/41880    1.998    0.000    2.570    0.000 /Users/hjfreyer/src/RJMCMC/pipeline.py:663(_CalcPropagatorMatrix)
       12    0.000    0.000    2.416    0.201 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/optimize/optimize.py:1858(get_bracket_info)
   343324    0.280    0.000    2.186    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/shape_base.py:236(hstack)
       29    1.744    0.060    1.826    0.063 /Users/hjfreyer/src/RJMCMC/pipeline.py:412(CalcCovarianceMatrix)
      120    0.064    0.001    1.781    0.015 /Users/hjfreyer/src/RJMCMC/pipeline.py:855(_CalculateRF)
   343324    0.241    0.000    1.357    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/shape_base.py:283(<listcomp>)
